Comida,Grasas,Carbohidratos,Proteina,Porcion,Calorias
Filetes de lomo,3.6,0.8,20.0,100g,115.6
Manzana,0.2,13.8,0.3,100g,58.2
Platano,0.3,22.8,1.1,100g,98.3
Yogur frutos del bosque,0.1,9.4,5.0,1 U,58.5
Leche,9.0,12.0,7.8,250 ml,160.2
Nuggets,13.4,16.6,10.4,100g,228.6
Nuggets top,6.2,23.0,15.0,100g,207.8
Palitos de merluza,4.4,31.5,6.8,100g,192.8
Patatas,5.4,21.0,2.4,100g,142.2
Filetes empanados,0.7,14.6,16.6,100g,131.1
Tortilla de patatas,11.0,17.0,5.7,100g,189.8
Pizza 4 Quesos,11.0,27.6,14.4,100g,267.0
Pan de hamburguesa,3.4,34.0,7.5,1 U,196.6
Hamburguesa,13.0,2.6,15.0,1 U,187.4
Queso,27.9,0.0,23.4,100g,344.7
Queso rallado,20.0,7.0,19.0,100g,284.0
Macarrones,1.5,71.0,13.0,100g,349.5
Arroz,0.8,78.0,5.9,100g,342.8
Salchichas,21.2,1.3,14.8,100g,255.2
Huevo frito,20.0,0.6,13.0,100g,234.4
Proteina ,1.8,1.2,22.7,1 U,111.8
